FILIAL;C«?D. PRODUTO;DESC. PRODUTO;DESC. GRUPO DE PRODUTO;QTDE. ESTOQUE
BA - ILHEUS CENTRO;1010009161;CAIXA PARA PRESENTE G VERDE;[ ICX ] CAIXAS;0
BA - ILHEUS CENTRO;1010009160;CAIXA PARA PRESENTE P VERDE;[ ICX ] CAIXAS;0
BA - ILHEUS CENTRO;1;ANULACAO DE VALORES DE SERVICO DE TRANSPORTE;[ MX ] MATERIAL EXPEDIENTE;0
BA - ILHEUS CENTRO;1060009057;ETIQUETA AD TRANSPARENTE C/ HOT (PCT 200 UN) (58 X 48);[ MX ] MATERIAL EXPEDIENTE;0
BA - ILHEUS CENTRO;1060009054;TAG PRESENTE (PACOTE C/ 100 UN);[ MX ] MATERIAL EXPEDIENTE;0
BA - ILHEUS CENTRO;1060009056;TIRAS OLFATIVAS - PAPEL TESTE;[ MX ] MATERIAL EXPEDIENTE;0
BA - ILHEUS CENTRO;1010009011;ESCOVA COM PEDRA POMES;ACESSORIOS BANHO;3
BA - ILHEUS CENTRO;1010009012;ESCOVA DE BANHO COM MASSAGEADOR;ACESSORIOS BANHO;0
BA - ILHEUS CENTRO;1010009013;ESCOVAO DE MADEIRA P/ BANHO;ACESSORIOS BANHO;4
BA - ILHEUS CENTRO;1010009014;MASSAGEADOR MADEIRA P;ACESSORIOS BANHO;8
BA - ILHEUS CENTRO;1080820200;BANHO REFRESCANTE FRUTAS 200 ML;ACOES PROMOCIONAIS;9
BA - ILHEUS CENTRO;1080010200;BANHO REFRESCANTE LAVANDA 200 ML;ACOES PROMOCIONAIS;0
BA - ILHEUS CENTRO;1061490005;DEO PARFUM MASCULINO SELETO - AMOSTRA GRATIS;ACOES PROMOCIONAIS;0
BA - ILHEUS CENTRO;1020550251;PERFUME PARA INTERIORES PROMOCIONAL ALECRIM 250 ML;ACOES PROMOCIONAIS;0
BA - ILHEUS CENTRO;1020020251;PERFUME PARA INTERIORES PROMOCIONAL CASCAS E FOLHAS 250 ML;ACOES PROMOCIONAIS;0
BA - ILHEUS CENTRO;1030551100;AGUA PERFUMADA PARA ROUPAS ALECRIM 1100 ML;ALECRIM;5
BA - ILHEUS CENTRO;1040550030;ESSENCIA CONCENTRADA ALECRIM 30 ML;ALECRIM;1
BA - ILHEUS CENTRO;2040550210;ESSENCIA PARA DIFUSOR ALECRIM 210 ML;ALECRIM;0
BA - ILHEUS CENTRO;1050559033;KIT TRIO CASA ALECRIM;ALECRIM;0
BA - ILHEUS CENTRO;1040550045;MINI DIFUSOR ALECRIM 45 ML;ALECRIM;0
BA - ILHEUS CENTRO;1020550250;PERFUME PARA INTERIORES AEROSOL ALECRIM 250 ML;ALECRIM;2
BA - ILHEUS CENTRO;1020551100;PERFUME PARA INTERIORES ALECRIM 1100 ML;ALECRIM;4
BA - ILHEUS CENTRO;1020550200;PERFUME PARA INTERIORES ALECRIM 200 ML;ALECRIM;15
BA - ILHEUS CENTRO;1020550030;PERFUME PARA INTERIORES ALECRIM 30 ML;ALECRIM;8
BA - ILHEUS CENTRO;1020550500;PERFUME PARA INTERIORES ALECRIM 500 ML;ALECRIM;5
BA - ILHEUS CENTRO;2090550500;REFIL SABONETE LIQUIDO ALECRIM 500ML;ALECRIM;2
BA - ILHEUS CENTRO;1090550380;SABONETE LIQUIDO ALECRIM 380 ML;ALECRIM;5
BA - ILHEUS CENTRO;1090550500;SABONETE LIQUIDO ALECRIM 500ML;ALECRIM;3
BA - ILHEUS CENTRO;1100550015;SACHE ENVELOPE PERFUMADO ALECRIM 15G;ALECRIM;10
BA - ILHEUS CENTRO;1030801000;AGUA PERFUMADA PARA ROUPAS ALECRIM & CAPIM LIMAO 1000 ML;ALECRIM & CAPIM LIMAO;4
BA - ILHEUS CENTRO;1040800100;DIFUSOR DE ESSENCIAS ALECRIM & CAPIM LIMAO 100 ML;ALECRIM & CAPIM LIMAO;0
BA - ILHEUS CENTRO;1020800500;PERFUME PARA INTERIORES ALECRIM & CAPIM LIMAO 500;ALECRIM & CAPIM LIMAO;1
BA - ILHEUS CENTRO;1090800100;SABONETE EM BARRA ALECRIM & CAPIM LIMAO 100 G (CX/;ALECRIM & CAPIM LIMAO;2
BA - ILHEUS CENTRO;1090800350;SABONETE LIQUIDO ALECRIM & CAPIM LIMAO 350 ML;ALECRIM & CAPIM LIMAO;6
BA - ILHEUS CENTRO;1081570100;DEO COLONIA AMAU 100 ML;AMAU;5
BA - ILHEUS CENTRO;1030581100;AGUA PERFUMADA PARA ROUPAS AMBAR 1100 ML;AMBAR;5
BA - ILHEUS CENTRO;1040580030;ESSENCIA CONCENTRADA AMBAR 30 ML;AMBAR;6
BA - ILHEUS CENTRO;2040580210;ESSENCIA PARA DIFUSOR AMBAR 210 ML;AMBAR;5
BA - ILHEUS CENTRO;1040580045;MINI DIFUSOR AMBAR 45 ML;AMBAR;0
BA - ILHEUS CENTRO;1020580250;PERFUME PARA INTERIORES AEROSOL AMBAR 250 ML;AMBAR;0
BA - ILHEUS CENTRO;1020581100;PERFUME PARA INTERIORES AMBAR 1100 ML;AMBAR;5
BA - ILHEUS CENTRO;1020580200;PERFUME PARA INTERIORES AMBAR 200 ML;AMBAR;5
BA - ILHEUS CENTRO;1020580030;PERFUME PARA INTERIORES AMBAR 30 ML;AMBAR;10
BA - ILHEUS CENTRO;1020580500;PERFUME PARA INTERIORES AMBAR 500 ML;AMBAR;4
BA - ILHEUS CENTRO;2090580500;REFIL SABONETE LIQUIDO AMBAR 500ML;AMBAR;4
BA - ILHEUS CENTRO;1090580380;SABONETE LIQUIDO AMBAR 380 ML;AMBAR;2
BA - ILHEUS CENTRO;1090580500;SABONETE LIQUIDO AMBAR 500ML;AMBAR;3
BA - ILHEUS CENTRO;1100580015;SACHE ENVELOPE PERFUMADO AMBAR 15G;AMBAR;8
BA - ILHEUS CENTRO;1031051000;AGUA PERFUMADA PARA ROUPAS AMORA & PITANGA 1000 ML;AMORA & PITANGA;0
BA - ILHEUS CENTRO;1041050100;DIFUSOR DE ESSENCIAS AMORA & PITANGA 100 ML;AMORA & PITANGA;7
BA - ILHEUS CENTRO;1021050500;PERFUME PARA INTERIORES AMORA & PITANGA PPI 500ML;AMORA & PITANGA;5
BA - ILHEUS CENTRO;1091050100;SABONETE EM BARRA AMORA & PITANGA 100 G (CX/3 UNI;AMORA & PITANGA;6
BA - ILHEUS CENTRO;1091050350;SABONETE LIQUIDO AMORA & PITANGA 350 ML;AMORA & PITANGA;3
BA - ILHEUS CENTRO;1061140007;CREME DE MANTEIGAS (UNID) - AMOSTRA GR«ÅTIS;AMOSTRA GRATIS;0
BA - ILHEUS CENTRO;1010000380;APLICADOR SPRAY 380ML;APLICADOR;9
BA - ILHEUS CENTRO;1051159242;KIT APOENA;APOENA;0
BA - ILHEUS CENTRO;1031071100;AGUA PERFUMADA PARA ROUPAS BAMBU 1100 ML;APPR 1100;0
BA - ILHEUS CENTRO;1030181100;AGUA PERFUMADA PARA ROUPAS GOIM 1100 ML;APPR 1100;2
BA - ILHEUS CENTRO;1030011100;AGUA PERFUMADA PARA ROUPAS LAVANDA 1100 ML;APPR 1100;3
BA - ILHEUS CENTRO;1030211100;AGUA PERFUMADA PARA ROUPAS PATCHOULI 1100 ML;APPR 1100;1
BA - ILHEUS CENTRO;1051129241;KIT AURORA;AURORA;0
BA - ILHEUS CENTRO;1041290100;DIFUSOR DE ESSENCIAS AVADORE 100 ML;AVADORE;8
BA - ILHEUS CENTRO;2041290210;ESSENCIA PARA DIFUSOR AVADORE 210 ML;AVADORE;1
BA - ILHEUS CENTRO;1021290090;PERFUME PARA INTERIORES AVADORE 90 ML;AVADORE;5
BA - ILHEUS CENTRO;1121290050;VELA AROMATICA AVADORE 50 G;AVADORE;4
BA - ILHEUS CENTRO;1010009155;BALDE BEGE COM LOGO - TAMANHO G;BALDES;0
BA - ILHEUS CENTRO;1010009154;BALDE BEGE COM LOGO - TAMANHO M;BALDES;7
BA - ILHEUS CENTRO;1010009153;BALDE BEGE COM LOGO - TAMANHO P;BALDES;3
BA - ILHEUS CENTRO;1010009007;BUCHA VEGETAL REDONDA;BANHO;23
BA - ILHEUS CENTRO;1010009023;TIARA ATOALHADA;BANHO;0
BA - ILHEUS CENTRO;1010009024;TOUCA ATOALHADA;BANHO;0
BA - ILHEUS CENTRO;1081150100;AGUA DE COLONIA APOENA 100 ML;BANHO REFRESCANTE;6
BA - ILHEUS CENTRO;1081120100;AGUA DE COLONIA AURORA 100 ML;BANHO REFRESCANTE;9
BA - ILHEUS CENTRO;1081170100;AGUA DE COLONIA SERENA 100 ML;BANHO REFRESCANTE;4
BA - ILHEUS CENTRO;1080830030;BANHO REFRESCANTE ERVAS 30 ML;BANHO REFRESCANTE;0
BA - ILHEUS CENTRO;1080830301;BANHO REFRESCANTE ERVAS 300 ML;BANHO REFRESCANTE;22
BA - ILHEUS CENTRO;1080820030;BANHO REFRESCANTE FRUTAS 30 ML;BANHO REFRESCANTE;0
BA - ILHEUS CENTRO;1080820300;BANHO REFRESCANTE FRUTAS 300 ML;BANHO REFRESCANTE;0
BA - ILHEUS CENTRO;1080010301;BANHO REFRESCANTE LAVANDA 300 ML;BANHO REFRESCANTE;39
BA - ILHEUS CENTRO;1081510100;DEO COLONIA FEMININA BELLA 100 ML;BELLA;10
BA - ILHEUS CENTRO;1051519274;KIT AINDA MAIS BELLA;BELLA;4
BA - ILHEUS CENTRO;2041430210;ESSENCIA PARA DIFUSOR BEMGLO 210 ML;BEMGL«?;0
BA - ILHEUS CENTRO;1071110080;BONISSIMO SHAVE - CREME PARA BARBEAR 80 G;BONISSIMO;1
BA - ILHEUS CENTRO;1081110050;DEO COLONIA BONISSIMO 50 ML;BONISSIMO;11
BA - ILHEUS CENTRO;1050009193;KIT BONISSIMO SHAVE ACESSORIOS;BONISSIMO;3
BA - ILHEUS CENTRO;1051119138;NOVO BONISSIMO CARE COM SHAVE 2015;BONISSIMO;0
BA - ILHEUS CENTRO;1071110030;POS BARBA BONISSIMO 30 G;BONISSIMO;17
BA - ILHEUS CENTRO;1091119128;SABONETE EM BARRA BONISSIMO 100 G (CX/3 UNID);BONISSIMO;12
BA - ILHEUS CENTRO;1081600050;DEO COLONIA BONISSIMO BLACK 50 ML;BONISSIMO BLACK;1
BA - ILHEUS CENTRO;1161600150;DESODORANTE AEROSOL ANTITRANSPIRANTE BONISSIMO BLACK 150 ML;BONISSIMO BLACK;2
BA - ILHEUS CENTRO;1051609234;KIT BONISSIMO BLACK;BONISSIMO BLACK;0
BA - ILHEUS CENTRO;1091609195;SABONETE EM BARRA BONISSIMO BLACK (CX. C/ 3 UND.);BONISSIMO BLACK;20
BA - ILHEUS CENTRO;1131600180;SHAMPOO BONISSIMO BLACK 180 ML;BONISSIMO BLACK;11
BA - ILHEUS CENTRO;1071570030;EMULSAO SUAVIZANTE PARA MAOS AMAU 30 G;BRINDES;0
BA - ILHEUS CENTRO;1071150030;EMULSAO SUAVIZANTE PARA MAOS APOENA 30 G;BRINDES;0
BA - ILHEUS CENTRO;1071120030;EMULSAO SUAVIZANTE PARA MAOS AURORA 30 G;BRINDES;0
BA - ILHEUS CENTRO;1071510030;EMULSAO SUAVIZANTE PARA MAOS BELLA 30 G;BRINDES;0
BA - ILHEUS CENTRO;1041080350;DIFUSOR DE ESSENCIAS BUQUE DE PEONIAS 350 ML;BUQUE DE PEONIAS;11
BA - ILHEUS CENTRO;2041080210;ESSENCIA PARA DIFUSOR BUQUE DE PEONIAS 210 ML;BUQUE DE PEONIAS;7
BA - ILHEUS CENTRO;1071080350;HIDRATANTE CORPORAL BUQUE DE PEONIAS 350 ML;BUQUE DE PEONIAS;4
BA - ILHEUS CENTRO;1021080150;PERFUME PARA INTERIORES BUQUE DE PEONIAS 150 ML;BUQUE DE PEONIAS;2
BA - ILHEUS CENTRO;2071080350;REFIL HIDRATANTE CORPORAL BUQUE DE PEONIAS 350 ML;BUQUE DE PEONIAS;2
BA - ILHEUS CENTRO;2091080500;REFIL SABONETE LIQUIDO BUQUE DE PEONIAS 500 ML;BUQUE DE PEONIAS;3
BA - ILHEUS CENTRO;1091080120;SABONETE EM BARRA BUQUE DE PEONIAS (CX/ 3 UNID.);BUQUE DE PEONIAS;5
BA - ILHEUS CENTRO;1091080350;SABONETE LIQUIDO BUQUE DE PEONIAS 350 ML;BUQUE DE PEONIAS;2
BA - ILHEUS CENTRO;1111080700;SAL MARINHO PARA BANHO BUQUE DE PEONIAS 700 G;BUQUE DE PEONIAS;0
BA - ILHEUS CENTRO;1091599171;CACAO BRASILIS - CX COM 3 SABONETES;CACAO BRASILIS;1
BA - ILHEUS CENTRO;1071580200;CREME DE MANTEIGA CACAU & UCUUBA 200 G;CACAU & UCUUBA;0
BA - ILHEUS CENTRO;1050009104;KIT PRESENTE AVATIM G (PCT C/ 4 UNID);CAIXAS E ENVELOPES;0
BA - ILHEUS CENTRO;1070750300;EMULSAO HIDRATANTE CAMELIA 300 G;CAMELIA;4
BA - ILHEUS CENTRO;1090750300;GEL DE BANHO CAMELIA 300 ML;CAMELIA;13
BA - ILHEUS CENTRO;1090750100;SABONETE EM BARRA CAMELIA 100 G (CX/3 UNID.);CAMELIA;5
BA - ILHEUS CENTRO;1090750200;SABONETE EM BARRA CAMELIA 200 G;CAMELIA;6
BA - ILHEUS CENTRO;1030021100;AGUA PERFUMADA PARA ROUPAS CASCAS & FOLHAS 1100 ML;CASCAS E FOLHAS;5
BA - ILHEUS CENTRO;1100029229;DISPERSOR DE CERAMICA PERFUMADO CASCAS & FOLHAS;CASCAS E FOLHAS;5
BA - ILHEUS CENTRO;1040020030;ESSENCIA CONCENTRADA CASCAS & FOLHAS 30 ML;CASCAS E FOLHAS;3
BA - ILHEUS CENTRO;2040020210;ESSENCIA PARA DIFUSOR CASCAS E FOLHAS 210 ML;CASCAS E FOLHAS;4
BA - ILHEUS CENTRO;1050029033;KIT TRIO CASA CASCAS & FOLHAS;CASCAS E FOLHAS;1
BA - ILHEUS CENTRO;1040020045;MINI DIFUSOR CASCAS & FOLHAS 45 ML;CASCAS E FOLHAS;0
BA - ILHEUS CENTRO;1020020250;PERFUME PARA INTERIORES AEROSOL CASCAS & FOLHAS 250;CASCAS E FOLHAS;0
BA - ILHEUS CENTRO;1020021100;PERFUME PARA INTERIORES CASCAS & FOLHAS 1100 ML;CASCAS E FOLHAS;9
BA - ILHEUS CENTRO;1020020200;PERFUME PARA INTERIORES CASCAS & FOLHAS 200 ML;CASCAS E FOLHAS;7
BA - ILHEUS CENTRO;1020020030;PERFUME PARA INTERIORES CASCAS & FOLHAS 30 ML;CASCAS E FOLHAS;3
