Filial;Código de Barras;;;Quantidade
ES - VITORIA 2;7898464620109;;;8
ES - VITORIA 3;7898464620161;;;19
ES - VITORIA 4;7898464620185;;;64
ES - VITORIA 5;7898464620192;;;17
ES - VITORIA 6;7898464620215;;;1
ES - VITORIA 7;7898464620222;;;3
ES - VITORIA 8;7898464620253;;;32
ES - VITORIA 9;7898464620260;;;20
ES - VITORIA 10;7898464620277;;;40
ES - VITORIA 11;7898464620307;;;19
ES - VITORIA 12;7898464620314;;;10
ES - VITORIA 13;7898464620345;;;14
ES - VITORIA 14;7898464620420;;;1
ES - VITORIA 15;7898464620437;;;8
ES - VITORIA 16;7898464620444;;;17
ES - VITORIA 17;7898464620451;;;17
ES - VITORIA 18;7898464620468;;;18
ES - VITORIA 19;7898464620475;;;14
ES - VITORIA 20;7898464620505;;;160
ES - VITORIA 21;7898464620642;;;1
ES - VITORIA 22;7898464620666;;;5
ES - VITORIA 23;7898464620888;;;12
ES - VITORIA 24;7898464620901;;;6
ES - VITORIA 25;7898464620918;;;13
ES - VITORIA 26;7898464620925;;;7
ES - VITORIA 27;7898464620956;;;12
ES - VITORIA 28;7898464620963;;;7
ES - VITORIA 29;7898464620994;;;17
ES - VITORIA 30;7898464621014;;;12
ES - VITORIA 31;7898464621021;;;19
ES - VITORIA 32;7898464621038;;;2
ES - VITORIA 33;7898464621052;;;7
ES - VITORIA 34;7898464621076;;;5
ES - VITORIA 35;7898464621090;;;5
ES - VITORIA 36;7898464621113;;;6
ES - VITORIA 37;7898464621120;;;4
ES - VITORIA 38;7898464621144;;;6
ES - VITORIA 39;7898464621151;;;5
ES - VITORIA 40;7898464621182;;;14
ES - VITORIA 41;7898464621199;;;29
ES - VITORIA 42;7898464621212;;;2
ES - VITORIA 43;7898464621229;;;5
ES - VITORIA 44;7898464621236;;;4
ES - VITORIA 45;7898464621243;;;9
ES - VITORIA 46;7898464621267;;;4
ES - VITORIA 47;7898464621274;;;5
ES - VITORIA 48;7898464621281;;;4
ES - VITORIA 49;7898464621311;;;8
ES - VITORIA 50;7898464621328;;;3
ES - VITORIA 51;7898464621359;;;13
ES - VITORIA 52;7898464621373;;;8
ES - VITORIA 53;7898464621380;;;4
ES - VITORIA 54;7898464621397;;;4
ES - VITORIA 55;7898464621410;;;6
ES - VITORIA 56;7898464621434;;;2
ES - VITORIA 57;7898464621458;;;13
ES - VITORIA 58;7898464621472;;;4
ES - VITORIA 59;7898464621489;;;2
ES - VITORIA 60;7898464621502;;;4
ES - VITORIA 61;7898464621519;;;4
ES - VITORIA 62;7898464621540;;;14
ES - VITORIA 63;7898464621557;;;15
ES - VITORIA 64;7898464621571;;;5
ES - VITORIA 65;7898464621588;;;2
ES - VITORIA 66;7898464621595;;;3
ES - VITORIA 67;7898464621601;;;9
ES - VITORIA 68;7898464621625;;;2
ES - VITORIA 69;7898464621632;;;15
ES - VITORIA 70;7898464621649;;;2
ES - VITORIA 71;7898464621670;;;11
ES - VITORIA 72;7898464621687;;;3
ES - VITORIA 73;7898464621717;;;23
ES - VITORIA 74;7898464621731;;;11
ES - VITORIA 75;7898464621748;;;3
ES - VITORIA 76;7898464621755;;;4
ES - VITORIA 77;7898464621779;;;3
ES - VITORIA 78;7898464621793;;;3
ES - VITORIA 79;7898464621830;;;2
ES - VITORIA 80;7898464621847;;;4
ES - VITORIA 81;7898464621878;;;3
ES - VITORIA 82;7898464621908;;;22
ES - VITORIA 83;7898464621915;;;25
ES - VITORIA 84;7898464621939;;;3
ES - VITORIA 85;7898464621946;;;2
ES - VITORIA 86;7898464621953;;;4
ES - VITORIA 87;7898464621960;;;6
